All,Összes
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","A CAPTCHA a ""Felhasználó létrehozása"" és az ""Elfelejtettem a jelszavamat"" űrlapokhoz mindig engedélyezve van, ha ki van választva."
Root,Gyökér
"Are you sure you want to delete this category?","Biztos abban, hogy törölni szeretné a kategóriát?"
"Use Config Settings","Konfigurációs beállítások használata"
"Use All Available Attributes","Minden rendelkezésre álló jellemző használata"
"Add Subcategory","Alkategória hozzáadása"
"Add Root Category","Gyökér kategória hozzáadása"
Day,Nap
from,ettől
to,eddig
"[STORE VIEW]","[BOLT NÉZET]"
"WYSIWYG Editor","WYSIWYG szerkesztő"
"Add Product","Termék hozzáadása"
"Product Attributes",Termékjellemzők
"Add New Attribute","Új jellemző hozzáadása"
"Save Attribute","Jellemző mentése"
"Save in New Attribute Set","Mentés új jellemző halmazként"
"Enter Name for New Attribute Set","Adja meg az új jellemző halmaz nevét"
"Delete Attribute","Jellemző törlése"
"Edit Product Attribute ""%1""","""%1"" termék jellemző szerkesztése"
"New Product Attribute","Új termékjellemző"
"Advanced Attribute Properties","Haladó jellemző tulajdonságok"
"Attribute Code","Jellemző kód"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Belső használatra. Bizonyosodjon meg, hogy nem használ szóközt vagy több mint %1 szibólumot."
"Default Value","Alapértelmezett érték"
"Unique Value","Egyedi érték"
"Unique Value (not shared with other products)","Egyedi érték (nincs megosztva más termékekkel)"
"Not shared with other products.","Nincs megosztva más termékkel."
"Input Validation for Store Owner","A bolt tulajdonosa ellenőrizze a beírt adatokat"
"Add to Column Options","Hozzáadás az oszlopopciókhoz"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Válassza az ""igen""-t a jellemző új oszlopként való hozzáadásához."
"Use in Filter Options","Használja szűrőlehetőségként"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Válassza az ""igen""-t a jellemző új szűrőként való hozzáadásához."
Website,Honlap
Global,Globális
Scope,Hatókör
"Declare attribute value saving scope.","Állítsa be meg az jellemző érvényességi hatályát."
"The default date is invalid.","Az alapértelmezett dátum érvénytelen."
"Storefront Properties","Vásárlói felület tulajdonságai"
"Use in Search","Használat keresésben"
"Visible in Advanced Search","Látható a Részletes keresésben"
"Comparable on Storefront","Összehasonlítható a Storefronton"
"Use for Promo Rule Conditions","Használja a promóciós feltételeket"
"Allow HTML Tags on Storefront","HTML tag-ek engedése a Storefronton"
"Visible on Catalog Pages on Storefront","Megjelenik a katalógus oldalakon"
"Used in Product Listing","Terméklistában mutatás"
"Depends on design theme.","A design témától függ."
"Used for Sorting in Product Listing","Termék listában sorba rendezésre használható"
"Media Image","Média kép"
Gallery,Galéria
"System Properties","Rendszer tulajdonságai"
"Data Type for Saving in Database","Adattípus az adatbázisba mentéshez"
Text,Szöveg
Static,Statikus
Datetime,"Dátum és idő"
Decimal,Decimális
Integer,"Egész szám"
"Globally Editable","Globálisan szerkeszthető"
"Attribute Information",Jellemző-információk
Properties,Tulajdonságok
"Manage Labels","Feliratok kezelése"
Visible,Látható
Searchable,Kereshető
Comparable,Összehasonlítható
"Delete Selected Group","Kijelölt csoport törlése"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Biztosan törölni szeretne minden terméket ebben a jellemző halmazban?"
"New Set Name","Új csoport neve"
"Edit Attribute Set '%1'","'%1' jellemző halmaz szerkesztése"
Empty,Üres
"Add Attribute","Jellemző hozzáadása"
"Add New Group","Új csoport hozzáadása"
"Add Group","Csoport hozzáadása"
"For internal use","Belső használatra"
"Based On","Ez alapján"
"Edit Attribute Set Name","Jellemző halmaz nevének szerkesztése"
"Attribute Set Information","Jellemző halmaz információ"
"Add New Attribute Set","Új jellemző halmaz létrehozása"
"Add Attribute Set","Jellemző halmaz hozzáadása"
"Attribute Sets","Jellemző halmazok"
"Close Window","Ablak bezárása"
"New Product","Új termék"
"Save & Edit","Mentés & szerkesztés"
"Save & New","Mentés & új"
"Save & Duplicate","Mentés & duplikálás"
"Save & Close","Mentés & bezárás"
Change,Módosítás
"Advanced Inventory","Továbbfejlesztett raktárkészlet"
Websites,Weboldalak
"Products Information","Termék információk"
"Create Category","Kategória létrehozása"
"Category Name","Kategória neve"
"Parent Category",Szülőkategória
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Ha nincsenek egyéni szülő kategóriák, kérjük használja az alapértelmezett szülő kategóriát. A <a href=""%1"" target=""_blank""> Termékek > Kategóriák</a> útvonalon bármikor újra összerendezheti a kategóriát."
"Price Alert Subscriptions","Ár értesítés feliratkozások"
"Stock Alert Subscriptions","Készlet figyelmeztetést kérők listája"
"There are no customers for this alert.","Ehhez a figyelmeztetéshez nincs vevő hozzárendelve."
"Subscribe Date","Feliratkozás dátuma"
"Last Notified","Utoljára értesített"
"Send Count","Számlálás küldése"
"New Attribute","Új jellemző"
"Attribute Set","Jellemző halmaz"
"Add New Option","Új választási lehetőség hozzáadása"
"Import Options","Választási lehetőségek importálása"
Import,Importálás
"Add New Row","Új sor hozzáadása"
"Delete Row","Sor törlése"
"Tier Pricing","Lépcsős árazás"
"Default Price","Alapértelmezett ár"
"ALL GROUPS","MINDEN CSOPORT"
"Add Price","Ár hozzáadása"
"Default Values","Alapértelmezett értékek"
"Related Products","Kapcsolódó termékek"
Up-sells,Felülértékesítések
Cross-sells,"Kereszt eladások"
"Size for %1","%1 mérete"
"Watermark File for %1","%1 Vízjel fájlja"
"Position of Watermark for %1","%1 vízjelének pozíciója"
"Name in %1","Név %1"
"Change Status","Állapot megváltoztatása"
"Update Attributes","Jellemzők frissítése"
"start typing to search category","kezdjen el gépelni a kategória kereséshez"
"New Category","Új kategória"
"Add New Images","Új képek hozzáadása"
"Inc. Tax",Adóval
"Does this have a weight?","Van súlya?"
"Notify Low Stock RSS","RSS értesítés alacsony készlet esetén"
"Low Stock Products","Alacsony készletű termékek"
"%1 has reached a quantity of %2.","%1 elérte a %2 mennyiséget."
"Go to Home Page","Ugrás a honlapra"
"Subscribe to RSS Feed","Feliratozás az RSS hírcsatornára"
"Products Comparison List","Termék összehasonlító lista"
AM,de
PM,du
"New Products from %1","%1 új termékei"
"New Products","Új termékek"
"%1 - Special Products","%1 - különleges termékek"
"Click for price","Kattintson ide az árért"
"Special Expires On: %1","Akció lejár: %1"
"Price: %1","Ár: %1"
"Special Price: %1","Akciós ár: %1"
"Special Products","Speciális termékek"
"Manage Catalog Categories","Katalógus-kategóriák kezelése"
"Manage Categories","Kategóriák kezelése"
"You deleted the category.","Kategória törölve."
"Something went wrong while trying to delete the category.","Valami elromlott a Kategória törlése közben."
Categories,Kategóriák
"Category is not available for requested store.","A kategória nem érhető el a megadott boltban."
"There was a category move error.","Kategória mozgatási hiba."
"You moved the category.","Kategória átmozgatva."
"The ""%1"" attribute is required. Enter and try again.","A ""%1"" attribútum szükséges. Írja be és próbálja újra."
"Something went wrong while saving the category.","Valami elromlott a kategória mentése közben."
"You saved the category.","Kategória elmentve."
"Please select products for attributes update.","Válasszon termékeket a jellemzők frissítéséhez."
"Please make sure to define SKU values for all processed products.","Bizonyosodjon meg róla hogy a feldolgozott termékeknek van cikkszáma."
"Something went wrong while updating the product(s) attributes.","Valami elromlott a termék(ek) jellemzőinek frissítése közben."
"Unable to add attribute","Nem lehet hozzáadni jellemzőt"
"Attributes were missing and must be specified.","Az attribútumok hiányoznak, és meg kell adni őket."
"Manage Product Attributes","Termék jellemzők kezelése"
"We can't delete the attribute.","Nem tudjuk az attribútumot törölni."
"You deleted the product attribute.","Törölte a termék jellemzőjét."
"We can't find an attribute to delete.","Nem találunk törölhető attribútumot."
"This attribute no longer exists.","E jellemző már nem létezik."
"This attribute cannot be edited.","Ezt a jellemzőt nem lehet szerkeszteni."
"Edit Product Attribute","Termék jellemző szerkesztése"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Az attribútum nem menthető hiba miatt. Ellenőrizze az adatokat és próbálja újra. Ha a hiba továbbra is fennáll, próbálkozzon később."
"An attribute set named '%1' already exists.","Egy '%1' nevű attribútumhalmaz már létezik."
"Something went wrong while saving the attribute.","Valami elromlott a jellemző mentése közben."
"We can't update the attribute.","Nem tudjuk frissíteni az attribútumot."
"You saved the product attribute.","Termék jellemző elmentve."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","Az attribútumot nem sikerült érvényesíteni hiba miatt. Ellenőrizze az adatokat és próbálja újra. Ha a hiba továbbra is fennáll, próbálkozzon később."
"An attribute with this code already exists.","Már van egy jellemző ezzel a kóddal."
"An attribute with the same code (%1) already exists.","Már létezik ezzel a kóddal (%1) egy jellemző."
"The value of Admin must be unique. (%1)","Az Admin értékének egyedinek kell lennie. (%1)"
"The value of Admin scope can't be empty.","Az Admin rész tulajdonság értéke nem lehet üres."
"You duplicated the product.","A termék lemásolva."
"This product doesn't exist.","Ez a termék nem létezik."
"Invalid product id. Should be numeric value greater than 0","Érvénytelen termék azonosító. 0-nál nagyobb szám kell"
"A group with the same name already exists.","Egy csoport már létezik ezzel a névvel."
"Something went wrong while saving this group.","Hiba történt a csoport mentésekor."
"A total of %1 record(s) have been deleted.","Összesen %1 sor törölve."
"A total of %1 record(s) have been updated.","Összesen %1 sor frissítve."
"Something went wrong while updating the product(s) status.","Hiba történt a termék(ek) állapotának frissítésekor."
"The product was unable to be saved. Please try again.","Source String
A termék nem menthető el. Próbálja újra."
"You saved the product.","Termék elmentve."
"SKU for product %1 has been changed to %2.","A termék %1 cikkszáma %2 -re változott."
"The image cannot be removed as it has been assigned to the other image role","A kép eltávolítása nem lehetséges, mert valamilyen szerepben használatban van"
"The value of attribute(s) ""%1"" must be unique","A ""%1"" attribútum értékének egyedinek kell lennie"
"New Attribute Set","Új jellemző halmaz"
"The attribute set has been removed.","A jellemző halmaz eltávolítva."
"We can't delete this set right now.","Ezt a halmazt nem tudjuk törölni."
"New Set","Új készlet"
"Manage Product Sets","Termék-készletek kezelése"
"Manage Attribute Sets","Jellemző halmaz kezelése"
"This attribute set no longer exists.","Ez a jellemző halmaz már nem létezik."
"You saved the attribute set.","A jellemző halmaz elmentve."
"Something went wrong while saving the attribute set.","Hiba a jellemző halmaz mentésekor."
"You cleared the comparison list.","Az összehasonlító lista törölve."
"Something went wrong  clearing the comparison list.","Hiba történt az összehasonlító lista kiürítésekor."
"You removed product %1 from the comparison list.","%1 termék eltávolítva az összehasonlító listáról."
"1 item","1 elem"
"%1 items","%1 elem"
"Are you sure you want to remove this item from your Compare Products list?","Biztos, hogy el akarja távolítani ezt a tételt az összehasonlításból?"
"Are you sure you want to remove all items from your Compare Products list?","Biztos, hogy el akarja távolítani az összes tételt az összehasonlításból?"
"Invalid attribute %1","%1 érvénytelen jellemző"
Grid,Rács
List,Lista
"Bad controller interface for showing product","Rossz controller interface a termék megjelenítéséhez"
